Date,Age,Tm,Opp,W/L,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
2018-10-17,20-097,LAC,DEN,L (-9),28:12,5,6,0.833,0,0,,1,1,1.0,0,2,2,4,1,1,3,1,11,0
2018-10-19,20-099,LAC,OKC,W (+16),23:16,0,2,0.0,0,1,0.0,2,2,1.0,0,3,3,4,0,0,2,2,2,12
2018-10-21,20-101,LAC,HOU,W (+3),25:35,4,8,0.5,0,1,0.0,4,4,1.0,1,4,5,4,1,0,2,0,12,21
2018-10-23,20-103,LAC,NOP,L (-7),22:11,3,8,0.375,1,1,1.0,2,2,1.0,2,2,4,2,1,1,3,4,9,-11
2018-10-26,20-106,LAC,HOU,W (+20),31:09,3,7,0.429,1,1,1.0,3,4,0.75,0,1,1,1,2,0,0,1,10,13
2018-10-28,20-108,LAC,WAS,W (+32),28:22,4,8,0.5,1,1,1.0,1,2,0.5,2,6,8,7,2,0,1,4,10,24
2018-10-30,20-110,LAC,OKC,L (-18),22:40,2,4,0.5,0,1,0.0,1,1,1.0,0,0,0,3,0,1,2,0,5,-10
2018-11-01,20-112,LAC,PHI,L (-9),17:31,3,8,0.375,0,0,,1,1,1.0,0,2,2,2,0,1,1,2,7,-18
2018-11-02,20-113,LAC,ORL,W (+25),24:47,2,6,0.333,0,2,0.0,4,4,1.0,0,1,1,1,1,0,3,3,8,22
2018-11-05,20-116,LAC,MIN,W (+11),24:33,2,6,0.333,0,1,0.0,2,2,1.0,2,1,3,5,1,1,2,2,6,7
2018-11-08,20-119,LAC,POR,L (-11),35:21,7,12,0.583,2,2,1.0,3,6,0.5,1,2,3,2,0,1,1,3,19,-16
2018-11-10,20-121,LAC,MIL,W (+2),39:51,5,13,0.385,2,3,0.667,4,4,1.0,1,5,6,4,1,3,2,3,16,6
2018-11-12,20-123,LAC,GSW,W (+5),38:27,8,11,0.727,0,3,0.0,2,2,1.0,0,5,5,3,2,1,4,1,18,-3
2018-11-15,20-126,LAC,SAS,W (+5),27:05,4,9,0.444,0,2,0.0,1,2,0.5,2,3,5,0,0,0,2,4,9,3
2018-11-17,20-128,LAC,BRK,W (+8),20:01,2,9,0.222,0,1,0.0,0,0,,0,2,2,2,0,0,1,5,4,-10
2018-11-19,20-130,LAC,ATL,W (+8),29:09,5,9,0.556,0,2,0.0,6,8,0.75,2,0,2,1,1,1,3,1,16,-7
2018-11-20,20-131,LAC,WAS,L (-7),28:54,6,11,0.545,1,4,0.25,4,5,0.8,1,2,3,3,3,1,2,0,17,5
2018-11-23,20-134,LAC,MEM,W (+5),29:05,4,14,0.286,0,2,0.0,0,0,,1,1,2,5,1,0,1,1,8,-10
2018-11-25,20-136,LAC,POR,W (+4),29:37,4,9,0.444,0,1,0.0,4,5,0.8,0,4,4,2,1,1,2,1,12,13
2018-11-28,20-139,LAC,PHO,W (+16),28:55,5,11,0.455,2,2,1.0,1,2,0.5,3,4,7,6,1,1,4,0,13,24
2018-11-29,20-140,LAC,SAC,W (+12),32:28,6,9,0.667,1,1,1.0,4,5,0.8,1,4,5,4,2,2,0,3,17,20
2018-12-02,20-143,LAC,DAL,L (-4),24:17,2,5,0.4,0,1,0.0,4,4,1.0,0,1,1,0,1,1,1,1,8,-13
2018-12-03,20-144,LAC,NOP,W (+3),23:16,3,5,0.6,1,2,0.5,0,0,,1,1,2,2,0,0,1,0,7,-1
2018-12-05,20-146,LAC,MEM,L (-10),28:40,4,9,0.444,1,1,1.0,3,4,0.75,1,3,4,4,3,1,1,1,12,10
2018-12-08,20-149,LAC,MIA,L (-23),19:21,3,9,0.333,0,1,0.0,2,2,1.0,1,2,3,2,1,0,1,3,8,-8
2018-12-10,20-151,LAC,PHO,W (+4),33:35,8,12,0.667,0,0,,0,0,,2,2,4,5,1,1,2,3,16,8
2018-12-11,20-152,LAC,TOR,L (-24),21:55,3,6,0.5,1,2,0.5,0,0,,1,1,2,2,1,0,2,1,7,-29
2018-12-13,20-154,LAC,SAS,L (-38),28:15,6,8,0.75,1,2,0.5,0,0,,1,1,2,2,1,0,3,1,13,-13
2018-12-15,20-156,LAC,OKC,L (-6),21:12,1,4,0.25,0,0,,0,2,0.0,1,1,2,2,1,1,2,0,2,-10
2018-12-17,20-158,LAC,POR,L (-4),37:49,9,15,0.6,2,7,0.286,4,5,0.8,0,2,2,3,0,0,2,3,24,-3
2018-12-20,20-161,LAC,DAL,W (+4),19:12,2,4,0.5,0,0,,0,0,,0,1,1,1,1,0,1,3,4,-19
2018-12-22,20-163,LAC,DEN,W (+21),32:34,6,10,0.6,0,0,,2,2,1.0,0,2,2,6,2,1,0,2,14,23
2018-12-23,20-164,LAC,GSW,L (-2),27:41,1,3,0.333,1,1,1.0,0,0,,0,0,0,2,0,1,2,2,3,-15
2018-12-26,20-167,LAC,SAC,W (+9),26:09,6,11,0.545,1,2,0.5,0,0,,1,3,4,1,0,0,0,2,13,-10
2018-12-28,20-169,LAC,LAL,W (+11),17:23,2,8,0.25,1,2,0.5,2,2,1.0,0,1,1,0,1,0,1,3,7,-1
2018-12-29,20-170,LAC,SAS,L (-11),20:54,2,3,0.667,1,1,1.0,0,0,,0,2,2,1,0,0,1,3,5,-4
2019-01-01,20-173,LAC,PHI,L (-6),20:07,4,7,0.571,0,1,0.0,0,0,,1,1,2,5,2,0,2,5,8,-6
2019-01-04,20-176,LAC,PHO,W (+10),18:31,1,6,0.167,0,2,0.0,1,2,0.5,1,2,3,9,2,0,3,2,3,6
2019-01-06,20-178,LAC,ORL,W (+10),23:01,6,7,0.857,1,1,1.0,0,0,,0,2,2,2,1,0,1,2,13,1
2019-01-08,20-180,LAC,CHO,W (+19),21:07,3,6,0.5,0,0,,2,2,1.0,0,3,3,2,3,4,2,2,8,-9
2019-01-10,20-182,LAC,DEN,L (-21),20:26,1,4,0.25,1,2,0.5,0,0,,0,2,2,1,1,0,3,1,3,-21
2019-01-12,20-184,LAC,DET,L (-5),16:52,3,7,0.429,0,1,0.0,1,1,1.0,0,1,1,4,1,0,2,2,7,3
2019-01-14,20-186,LAC,NOP,L (-4),12:59,0,3,0.0,0,1,0.0,0,0,,0,0,0,2,0,1,2,2,0,-13
2019-01-16,20-188,LAC,UTA,L (-20),22:04,4,8,0.5,0,2,0.0,0,0,,0,1,1,2,0,0,4,1,8,-19
2019-01-18,20-190,LAC,GSW,L (-18),42:30,7,17,0.412,0,3,0.0,10,10,1.0,1,2,3,5,3,0,2,2,24,-10
2019-01-20,20-192,LAC,SAS,W (+8),37:40,3,15,0.2,1,2,0.5,0,0,,1,3,4,3,0,0,3,3,7,-4
2019-01-22,20-194,LAC,DAL,L (-8),20:22,4,14,0.286,0,2,0.0,0,0,,0,1,1,1,0,1,0,1,8,5
2019-01-23,20-195,LAC,MIA,W (+12),30:50,5,10,0.5,0,1,0.0,0,0,,0,2,2,3,1,0,1,3,10,1
2019-01-25,20-197,LAC,CHI,W (+5),21:50,2,6,0.333,0,2,0.0,2,3,0.667,0,0,0,5,0,0,2,1,6,-7
2019-01-27,20-199,LAC,SAC,W (+14),31:14,5,9,0.556,0,1,0.0,7,7,1.0,2,2,4,5,2,0,1,3,17,-2
2019-01-28,20-200,LAC,ATL,L (-5),24:27,5,7,0.714,1,2,0.5,0,0,,1,1,2,2,2,0,2,4,11,-6
